"index"	"length" "start_nt" "Freq" "prop"
"234" "32" "U" 366975 0.00491140158104638
"235" "33" "U" 208342 0.00278834042700011
"236" "34" "U" 172067 0.00230285478805343
"237" "35" "U" 148573 0.00198842337243901
"238" "36" "U" 130798 0.00175053206348581
"239" "37" "U" 121894 0.00163136558163381
"240" "38" "U" 106369 0.00142358709659874
"241" "39" "U" 92625 0.00123964458462953
"242" "40" "U" 80886 0.00108253594464069
"243" "41" "U" 69657 0.000932252878073296
"244" "42" "U" 65552 0.000877313703769337
"245" "43" "U" 62889 0.000841673503727573
"246" "44" "U" 58662 0.000785101545193386
"247" "45" "U" 52328 0.000700330599994537
"248" "46" "U" 1310 1.75323552589979e-05
"249" "47" "U" 704 9.42196801704927e-06
"250" "48" "U" 626 8.37805678788756e-06
"251" "49" "U" 633 8.47174112896617e-06
"252" "50" "U" 698 9.3416671532676e-06
"253" "51" "U" 724 9.68963756298817e-06
"254" "52" "U" 617 8.25760549221505e-06
"255" "53" "U" 566 7.57504815007086e-06
"256" "54" "U" 676 9.04723065273481e-06
"257" "55" "U" 652 8.72602719760813e-06
"258" "56" "U" 658 8.8063280613898e-06
"259" "57" "U" 752 1.00643749273026e-05
"260" "58" "U" 761 1.01848262229751e-05
"261" "59" "U" 624 8.35128983329367e-06
"262" "60" "U" 378 5.0589544182452e-06
"263" "61" "U" 230 3.07819977829735e-06
"264" "62" "U" 176 2.35549200426232e-06
"265" "63" "U" 153 2.04767202643258e-06
"266" "64" "U" 181 2.42240939074704e-06
"267" "65" "U" 149 1.9941381172448e-06
"268" "66" "U" 116 1.55248336644562e-06
"269" "67" "U" 111 1.48556597996089e-06
"270" "68" "U" 120 1.6060172756334e-06
"271" "69" "U" 103 1.37849816158533e-06
"272" "70" "U" 165 2.20827375399592e-06
"273" "71" "U" 134 1.79338595779063e-06
"274" "72" "U" 114 1.52571641185173e-06
"275" "73" "U" 101 1.35173120699144e-06
"276" "74" "U" 108 1.44541554807006e-06
"277" "75" "U" 75 1.00376079727087e-06
"278" "76" "U" 75 1.00376079727087e-06
"279" "77" "U" 81 1.08406166105254e-06
"280" "78" "U" 71 9.50226888083094e-07
"281" "79" "U" 55 7.36091251331974e-07
"282" "80" "U" 39 5.21955614580854e-07
"283" "81" "U" 36 4.81805182690019e-07
"284" "82" "U" 29 3.88120841611404e-07
"285" "83" "U" 10 1.3383477296945e-07
"286" "84" "U" 14 1.8736868215723e-07
"287" "85" "U" 10 1.3383477296945e-07
"288" "86" "U" 8 1.0706781837556e-07
"289" "87" "U" 23 3.07819977829735e-07
"290" "88" "U" 7 9.36843410786148e-08
"291" "89" "U" 8 1.0706781837556e-07
"292" "90" "U" 6 8.03008637816699e-08
